caseid,commonweight,age,gender,ed,race_id,married,registered,pid_text,ideology,income,pol_interest,CC21_320a_t,CC21_320b_t,CC21_320c_t,CC21_320d_t,CC21_320e_t,CC21_321a_t,CC21_321b_t,CC21_321c_t,CC21_321d_t,CC21_321e_t,CC21_321f_t,CC21_322a_t,CC21_322b_t,CC21_322c_t,CC21_322d_t,CC21_322e_t,CC21_323a_t,CC21_323b_t,CC21_323c_t,CC21_323d_t,CC21_323e_t,CC21_323f_t,CC21_324a_t,CC21_324b_t,CC21_324c_t,CC21_324d_t,CC21_325a_t,CC21_325b_t,CC21_325c_t,CC21_325d_t
1622914939,0.687966303825188,74,Female,some college but no degree (yet),White,divorced,registered,Democrat,a liberal,"$40,000 to $49,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Oppose,Support,Support,Support,Support
1619544083,1.4809067655257,53,Male,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",Asian or Asian-American,single,registered,Independent,a slightly conservative,"$100,000 to $119,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Support,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Support
1623028743,0.603954942242606,49,Female,some college but no degree (yet),White,widowed,registered,Republican,a conservative,"less than $10,000",some of the time,Support,Support,Oppose,Support,Support,Support,Support,Support,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Support
1629319233,0.355011110251553,39,Female,some college but no degree (yet),White,married,registered,Democrat,an extremely liberal,"$60,000 to $69,999",some of the time,Support,Oppose,Oppose,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support
1632441081,1.64025086860675,32,Female,a 4-year college degree,White,married,registered,Republican,a conservative,"$50,000 to $59,999",most of the time,Oppose,Support,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose
1632357149,1.35914921679656,81,Male,a 2-year college degree,White,widowed,registered,Republican,an extremely conservative,"$60,000 to $69,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Support,Support,Oppose,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Support
1633366865,1.04000532797973,54,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Republican,a conservative,"$60,000 to $69,999",some of the time,Oppose,Support,Oppose,Support,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Oppose
1633377031,1.12815292322861,61,Male,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Republican,a conservative,"$350,000 to $499,999",hardly at all,Oppose,Oppose,Support,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Oppose
1633330823,0.189089059083489,68,Male,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Independent,a moderate,"$150,000 to $199,999",most of the time,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Support
1633377017,1.26011493138126,53,Male,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Independent,an extremely conservative,"$80,000 to $99,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support
