pid,tariffs_part_words,human_tariff_position,human_tariff_reasoning
14012CEC69774628B12A21F793A04037,"Very bad Because, we as consumers will be footing the bill for imported products such as electronics or coffee No, it's fucking stupid.",Oppose,Price Increase Concern
BB6CC7E39FE141A98BE52FDA214419E2,"i need more info seems bad for consumers higher prices on outside goods i would shop less for things outside the us, but that may be good",Neutral,"Price Increase Concern, Lack of Understanding/Indecision"
6CC9B9CD54704ADB8CA8B7425856FED3,"It is better for the US to make more money, however we do not want our prices to go up any higher than they already are.",Neutral,"Price Increase Concern, Economic Impact"
98CEBB245CC64B34B95712FED358D4C0,I think it is a terrible idea both for the american economy and diplomacy increased prices for goods manufactured in canada/mexico/china and worsened foreign policy in those countries. I think canada and mexico especially are unwilling to engage in the IPE with the united states when they cut them off from their largest market if that makes sense. i also think most countries understand this decission as fundamentally stupid and embarassing which damages the united states reputation in a global political context,Oppose,"Price Increase Concern, Economic Impact, Retaliation and Trade Wars, Political and Strategic Considerations"
4457626912044FCE92D7E610C1F0EE27,Economists has provided evidence that tariffs only lead to higher prices for the average American.,Oppose,Price Increase Concern
8AD70996DA284ECB828016DC41BD81FE,"Probably bad Sounds like the cost of things would increase. I'm not rich so I don't want that to happen It depends on what tariffs are increased. ""How it might impact me"" I'm poor so having to spend more would be bad All of the above. Not happy about any price increases",Oppose,"Price Increase Concern, Equity and Fairness"
8B045A74597B47FCB5FFAE595C7422DB,"Somewhat bad I see increasing tariffs as leading to a trade war and also increasing prices on many items for American consumers. So many of the things we buy are imported that we will certainly be facing markedly higher prices. And other countries will increase their tariffs, thus leading to a global trade war, which will be detrimental worldwide. Tariffs might be a good thing for industries where the US is trying to rebuild and support the manufacturing of certain products, i.e., as a protective measure.",Neutral,"Price Increase Concern, Retaliation and Trade Wars, Domestic Industry Protection"
88CC2CF6EEFB4E908819CB55B5641E09,I wish there was a not sure option for this question. I think in the long run it might help jobs. Struggling Americans will not be able to afford many products however that were affordable before if hefty tariffs are applied.,Neutral,"Job Creation, Price Increase Concern, Lack of Understanding/Indecision"
EE9B38714AF74CA497253299B50A2CED,don't agree it would raise prices here countries would have to raise prices to make up for their losses from tarrifs I've read about Canada. they already said they would raise prices on lumber it would cost more for home improvements and home building. no benefits,Oppose,"Price Increase Concern, Retaliation and Trade Wars"
3C1DAFCA41AD461D911288FC7BFB8072,Because it will help boost the economy by increasing the demand for locally produced goods,Support,"Domestic Industry Protection, Job Creation"
73584872E18843BEAA2F972123799142,love it its not a bad thing it just brings manufacturing back to america. the problem everyone is having is their belief things will cost most. The real problem is manufacturing might actually have to increase their pay If manufacturing wants employees they can't pay slave wages and nope don't see a downside,Support,"Domestic Industry Protection, Job Creation"
086106E84E2C4265955A36F4A9A6FB0F,"Somewhat bad It'll only help if we manufactured most of our goods. But we currently largely rely on imported goods Definitely increased prices which will harm consumers and might lead to inflation. It might spur on domestic manufacturing, but there is little chance of that as manufacturing in the US is way more expensive than manufacturing internationally.",Oppose,"Price Increase Concern,  Domestic Industry Protection"
FABCC210FAA54755B57865C1614BE16D,"I believe this is a very bad idea that will only make life more financially difficult for the majority of Americans. The importer pays the tariff, not the exporter. The cost of the tariffs will be paid by the American consumer. I think the purchase of non-essential items will decline and people will struggle to pay for groceries. I also think companies will lay off workers to cut the rising costs associated with the tariffs. The negative outweigh any possible benefits. In addition to the financial burden to the American consumer, tariffs will also damage our relationships with Mexico and Canada. They are our neighbors and friends. The US is years away from being able to manufacture domestically. I also believe domestic manufacturing will raise the cost of items because the pay for workers will be higher. Tariffs are a ridiculous idea.",Oppose,"Price Increase Concern, Economic Impact, Retaliation and Trade Wars"
1E52E947E07B491E80B0F5ACDA1E25BC,"Bad Cause prices of goods would simply increase I mean rise in prices of good would definitely affect the economy, cause for struggling citizen, imagination increases of prices of basic things like food and other goods.",Oppose,"Price Increase Concern, Economic Impact, Equity and Fairness"
7E8919FB60CA4DB58FB6E4AC6D785690,"I have no knowledge of this. I believe it would lead to a sharp hike in the price of goods. Higher price of goods would lead to inflation, thus destabilizing the economy. No I have not",Oppose,"Lack of Understanding/Indecision, Price Increase Concern, Economic Impact"
512FED05A72842BF9658B966FBD7F076,Increasing the tariff will serve as a form of income to the government thereby building the economy in order to make it stronger.,Support,Economic Impact
F4C3D8BD26EE4E50B32DE67378835B17,Because prices of goods will skyrocket if that happens,Oppose,Price Increase Concern
